Giuseppe;Musso;giuseppe.musso@wanadoo.fr
Pasquale;DAmico;pasquale.damico@live.co.uk
Aldo;Lanfranco;aldo.lanfranco@yahoo.co.id
Vittoria;Mattina;vittoria.mattina@bigpond.com
Massimiliano;Roggero;massimiliano.roggero@bellsouth.net
Samuele;Bonino;samuele.bonino@terra.com.br
Piera;Bullari;piera.bullari@yahoo.it
Loredana;Ricci;loredana.ricci@centurytel.net
Giuliana;Manta;giuliana.manta@sfr.fr
Maria;Chiusano;maria.chiusano@neuf.fr
Emma;Berruti;emma.berruti@hotmail.de
Antonino;Pregno;antonino.pregno@att.net
Adriana;Bona;adriana.bona@windstream.net
Maria;Tona;maria.tona@aliceadsl.fr
Noemi;Piano;noemi.piano@optonline.net
Vittorio;Rasero;vittorio.rasero@club-internet.fr
Guido;Coppola;guido.coppola@comcast.net
Luigina;Fernicola;luigina.fernicola@live.fr
Veronica;Rinaldi;veronica.rinaldi@mail.ru
Gaia;Cela;gaia.cela@rocketmail.com
Carmelo;Garrone;carmelo.garrone@virgilio.it
Giada;Balla;giada.balla@bol.com.br
Matilde;Esposito;matilde.esposito@optusnet.com.au
Jacopo;Gulino;jacopo.gulino@mac.com
Flavio;Alongi;flavio.alongi@yandex.ru
Vincenza;Sattanino;vincenza.sattanino@live.fr
Jessica;Cimino;jessica.cimino@optonline.net
Annamaria;Guza;annamaria.guza@laposte.net
Mirko;Ghia;mirko.ghia@msn.com
Valter;Cannella;valter.cannella@yahoo.co.jp
Gianni;Grosso;gianni.grosso@centurytel.net
Sonia;Carosso;sonia.carosso@gmx.de
Giulio;Borgo;giulio.borgo@virgilio.it
Gaetano;Tarasco;gaetano.tarasco@yahoo.com.au
Luisa;Leone;luisa.leone@yahoo.co.in
Renzo;Kociu;renzo.kociu@tiscali.it
Maria;Merlone;maria.merlone@tiscali.co.uk
Isabella;Gianoglio;isabella.gianoglio@facebook.com
Greta;Olivero;greta.olivero@chello.nl
Antonia;Bella;antonia.bella@windstream.net
Liliana;Pavan;liliana.pavan@zonnet.nl
Calogero;Ivaldi;calogero.ivaldi@earthlink.net
Adriano;Baldi;adriano.baldi@mac.com
Annalisa;Pistone;annalisa.pistone@charter.net
Renata;Poggio;renata.poggio@aol.com
Raffaele;Gherlone;raffaele.gherlone@sky.com
Mirella;Ollino;mirella.ollino@windstream.net
Enzo;Bagnasco;enzo.bagnasco@charter.net
Umberto;Dushku;umberto.dushku@yahoo.co.uk
Dario;Gagliardi;dario.gagliardi@telenet.be
Cecilia;Pollina;cecilia.pollina@hotmail.co.uk
Cristian;Cravanzola;cristian.cravanzola@yahoo.com.ar
Mohamed;Greco;mohamed.greco@yahoo.com
Raffaella;Mortara;raffaella.mortara@bluewin.ch
Grazia;Sardi;grazia.sardi@ymail.com
Vito;Scaglione;vito.scaglione@skynet.be
Rocco;Scalzo;rocco.scalzo@ymail.com
Bianca;Sorba;bianca.sorba@aim.com
Lidia;Manetta;lidia.manetta@hotmail.it
Ivana;Parisi;ivana.parisi@yahoo.com
Olga;Bellone;olga.bellone@verizon.net
Danilo;Sorce;danilo.sorce@live.com
Erika;Bosio;erika.bosio@yandex.ru
Camilla;Cavagnero;camilla.cavagnero@yahoo.de
Luigia;Noto;luigia.noto@virgilio.it
Adele;Hu;adele.hu@comcast.net
Ornella;Ferro;ornella.ferro@yahoo.com.au
Carlotta;Montanella;carlotta.montanella@bluewin.ch
Ezio;Caputo;ezio.caputo@outlook.com
Nicoletta;Gardino;nicoletta.gardino@bellsouth.net
Rosaria;Vitale;rosaria.vitale@yahoo.fr
Manuel;Furlanetto;manuel.furlanetto@bigpond.net.au
Rosario;Parodi;rosario.parodi@live.com.au
Elio;Messina;elio.messina@verizon.net
Clara;Bosso;clara.bosso@rocketmail.com
Ivan;Alciati;ivan.alciati@live.com
Daniel;Goria;daniel.goria@sfr.fr
Donatella;Berzano;donatella.berzano@verizon.net
Denis;Duretto;denis.duretto@hetnet.nl
Carmine;Capello;carmine.capello@sky.com
Donato;Dezani;donato.dezani@yahoo.in
Silvio;Catalano;silvio.catalano@hotmail.it
Rosalia;Cuniberti;rosalia.cuniberti@zonnet.nl
Letizia;Rampone;letizia.rampone@windstream.net
Marcello;Miroglio;marcello.miroglio@bluewin.ch
Alex;Vitello;alex.vitello@yahoo.de
Melissa;Boido;melissa.boido@free.fr
Ludovica;Coppo;ludovica.coppo@ig.com.br
Marianna;Ercole;marianna.ercole@virgilio.it
Domenica;Massa;domenica.massa@hotmail.de
Emilia;Kasa;emilia.kasa@tiscali.it
Ginevra;Grieco;ginevra.grieco@yahoo.com.br
Enrica;Rabino;enrica.rabino@hotmail.it
Maddalena;Pellegrino;maddalena.pellegrino@earthlink.net
Omar;Rovero;omar.rovero@bigpond.com
Assunta;Orlando;assunta.orlando@yahoo.fr
Cesare;Marengo;cesare.marengo@home.nl
Armando;Elezi;armando.elezi@hotmail.de
Fatima;Carretto;fatima.carretto@hotmail.de
Maria;Ratti;maria.ratti@skynet.be
Marinella;Boccia;marinella.boccia@juno.com
Susanna;Pepe;susanna.pepe@uol.com.br
Filomena;Maggiorotto;filomena.maggiorotto@optonline.net
Thomas;Lafleur;thomas.lafleur@live.co.uk
Carolina;Conte;carolina.conte@live.com
Marilena;Gambino;marilena.gambino@optusnet.com.au
Mara;Alessio;mara.alessio@rocketmail.com
Lina;Barrera;lina.barrera@laposte.net
Giuliano;Zefi;giuliano.zefi@planet.nl
Valerio;Steffenino;valerio.steffenino@club-internet.fr
Elsa;Catizzone;elsa.catizzone@free.fr
Virginia;Viola;virginia.viola@yahoo.co.in
Walter;Bianchi;walter.bianchi@rocketmail.com
Gabriel;Mossino;gabriel.mossino@hotmail.es
Rossana;Mogliotti;rossana.mogliotti@sky.com
Iolanda;Cantarella;iolanda.cantarella@bluewin.ch
Elda;Malandrone;elda.malandrone@yahoo.es
Carola;Fantino;carola.fantino@orange.fr
Deborah;Roero;deborah.roero@outlook.com
Sandro;Dezzani;sandro.dezzani@skynet.be
Maria;Masenga;maria.masenga@msn.com
Sandra;Demaria;sandra.demaria@sympatico.ca
Silvano;Origlia;silvano.origlia@cox.net
Vera;Zappa;vera.zappa@juno.com
Gioele;Scaglia;gioele.scaglia@msn.com
Antonina;Ghione;antonina.ghione@yahoo.in
Eugenio;Paracchino;eugenio.paracchino@live.co.uk
Maria;Visconti;maria.visconti@aliceadsl.fr
Denise;Cavallaro;denise.cavallaro@att.net
Elvira;Cilia;elvira.cilia@comcast.net
Marzia;Macario;marzia.macario@yahoo.com
Gloria;Biglia;gloria.biglia@yahoo.co.jp
Milena;Badella;milena.badella@live.nl
Gerardo;Pastrone;gerardo.pastrone@yahoo.de
Viviana;Valle;viviana.valle@frontiernet.net
Pierina;Schiavinato;pierina.schiavinato@verizon.net
Alfredo;Lano;alfredo.lano@terra.com.br
Calogera;DAngelo;calogera.dangelo@yahoo.com.mx
Fulvio;Hysa;fulvio.hysa@yahoo.com.sg
Ida;Novello;ida.novello@wanadoo.fr
Ahmed;Stabile;ahmed.stabile@charter.net
Gianpiero;Marchese;gianpiero.marchese@live.it
Rosella;Natale;rosella.natale@telenet.be
Vanessa;Cullhaj;vanessa.cullhaj@skynet.be
Ugo;Mazza;ugo.mazza@gmail.com
Agnese;Cussotto;agnese.cussotto@hotmail.it
Mariangela;Marocco;mariangela.marocco@windstream.net
Debora;Maccagno;debora.maccagno@t-online.de
Gino;Ruotolo;gino.ruotolo@live.co.uk
Nella;Arione;nella.arione@windstream.net
Kevin;Perri;kevin.perri@sympatico.ca
Ettore;Pugliese;ettore.pugliese@libero.it
Asia;Mondo;asia.mondo@juno.com
Emilio;Borgogno;emilio.borgogno@freenet.de
Nicole;Casetta;nicole.casetta@live.co.uk
Maria;Giaretti;maria.giaretti@msn.com
Viola;Ghidella;viola.ghidella@hotmail.de
Angelica;Lukaj;angelica.lukaj@yahoo.com.br
Pasqualina;Voglino;pasqualina.voglino@mail.ru
Rossella;Fasano;rossella.fasano@ymail.com
Flavia;De;flavia.de@tin.it
Pierluigi;Caldera;pierluigi.caldera@centurytel.net
Vilma;Icardi;vilma.icardi@yandex.ru
Rosalba;Ambrosio;rosalba.ambrosio@live.nl
Khadija;Fazio;khadija.fazio@aol.com
Felice;Gallina;felice.gallina@hotmail.fr
Teresina;Scassa;teresina.scassa@neuf.fr
Rosa;Sardo;rosa.sardo@yahoo.it
Tatiana;Lazzarino;tatiana.lazzarino@sbcglobal.net
Loris;Navone;loris.navone@yahoo.fr
Secondo;Pesce;secondo.pesce@yahoo.ca
Mariella;Saviano;mariella.saviano@arcor.de
David;Tinebra;david.tinebra@yahoo.com.sg
Erik;Orecchia;erik.orecchia@tiscali.co.uk
Lucrezia;Gerbi;lucrezia.gerbi@hotmail.de
Sebastiano;Vogliolo;sebastiano.vogliolo@hotmail.es
Michelina;Battaglia;michelina.battaglia@freenet.de
Luisella;Caruso;luisella.caruso@mail.com
Natalia;Sadikaj;natalia.sadikaj@bigpond.net.au
Angelina;Toso;angelina.toso@rambler.ru
Romina;Oddone;romina.oddone@charter.net
Lorena;Ferlisi;lorena.ferlisi@yahoo.com.au
Michael;Gerbo;michael.gerbo@sympatico.ca
Anita;Montersino;anita.montersino@ymail.com
Erica;Lleshi;erica.lleshi@shaw.ca
Ines;Amico;ines.amico@qq.com
Samuel;Saglietti;samuel.saglietti@verizon.net
Nicholas;Buttaci;nicholas.buttaci@hotmail.fr
Agostino;Bongiovanni;agostino.bongiovanni@ntlworld.com
Nicolas;Chirminisi;nicolas.chirminisi@bellsouth.net
Rosina;Lettieri;rosina.lettieri@live.nl
Irma;Mendola;irma.mendola@centurytel.net
Marcella;Tortoriello;marcella.tortoriello@live.com.au
Gianpaolo;Zanetti;gianpaolo.zanetti@rambler.ru
Ana;Terzuolo;ana.terzuolo@live.ca
Salvatrice;Bonello;salvatrice.bonello@googlemail.com
Fabiana;Panepinto;fabiana.panepinto@yahoo.co.id
Mariagrazia;Ottaviano;mariagrazia.ottaviano@frontiernet.net
Benedetta;Martini;benedetta.martini@att.net
Amelia;Cane;amelia.cane@charter.net
Rachele;Lombardi;rachele.lombardi@free.fr
Rina;Parola;rina.parola@gmail.com
Maura;Turello;maura.turello@gmx.net
Maria;Ferrari;maria.ferrari@live.fr
Mohammed;Salimbene;mohammed.salimbene@hotmail.co.uk
Livio;Manzone;livio.manzone@outlook.com
Eva;Zecchin;eva.zecchin@hotmail.com
Stella;Pace;stella.pace@aol.com
Corrado;Caggiano;corrado.caggiano@zonnet.nl
Natalina;Nicastro;natalina.nicastro@yahoo.it
Pierpaolo;Porro;pierpaolo.porro@msn.com
Remo;Pafundi;remo.pafundi@bellsouth.net
Alfonso;Ferretti;alfonso.ferretti@yahoo.in
Fiorella;Maccario;fiorella.maccario@sky.com
Marika;Vecchio;marika.vecchio@me.com
Maria;Vergano;maria.vergano@charter.net
Youssef;Bussi;youssef.bussi@yahoo.com
Ferdinando;Roberto;ferdinando.roberto@bol.com.br
Adelina;Baino;adelina.baino@live.nl
Guglielmo;Costantino;guglielmo.costantino@verizon.net
Cristiano;Pozzato;cristiano.pozzato@live.nl
Said;Tirone;said.tirone@yahoo.com
Vasile;Reggio;vasile.reggio@msn.com
Gian;Bologna;gian.bologna@yahoo.co.uk
Gian;Genta;gian.genta@yahoo.co.in
Samantha;Merlo;samantha.merlo@aol.com
Cristiana;Piras;cristiana.piras@free.fr
Fiorenzo;Emma;fiorenzo.emma@live.com.au
Morena;Varesio;morena.varesio@msn.com
Ali;Vada;ali.vada@charter.net
Santina;Nuara;santina.nuara@yahoo.fr
Carmelina;Rabezzana;carmelina.rabezzana@home.nl
Gennaro;Fogliati;gennaro.fogliati@hotmail.es
Diana;Cren;diana.cren@rediffmail.com
Gaetana;Rocca;gaetana.rocca@virgilio.it
Ion;Giolito;ion.giolito@juno.com
Nunzio;Beltracchini;nunzio.beltracchini@virgilio.it
Rayan;Perino;rayan.perino@me.com
Enza;Stradella;enza.stradella@aol.com
Onofrio;Leva;onofrio.leva@gmx.de
Flora;Velaj;flora.velaj@freenet.de
Miriam;Roseo;miriam.roseo@live.co.uk
Iris;Moiso;iris.moiso@arcor.de
Amedeo;Petrini;amedeo.petrini@gmx.de
Raffaela;Langella;raffaela.langella@sky.com
Piergiorgio;Fassi;piergiorgio.fassi@voila.fr
Maria;Magari;maria.magari@optonline.net
Rosetta;Crepaldi;rosetta.crepaldi@voila.fr
Katia;Botto;katia.botto@juno.com
Aicha;Salatino;aicha.salatino@alice.it
Miranda;Montesano;miranda.montesano@aol.com
Cosimo;Martinetto;cosimo.martinetto@hotmail.fr
Pier;DAgostino;pier.dagostino@yahoo.co.uk
Santa;Tedesco;santa.tedesco@live.com.au
Ciro;Veneto;ciro.veneto@sky.com
Natale;Gardin;natale.gardin@aliceadsl.fr
Ada;Ferrante;ada.ferrante@ntlworld.com
Ileana;Vignale;ileana.vignale@shaw.ca
Arben;Zhou;arben.zhou@gmail.com
Ester;Uruci;ester.uruci@earthlink.net
Maria;Gianuzzi;maria.gianuzzi@terra.com.br
Valentino;Grimaldi;valentino.grimaldi@planet.nl
Ferruccio;Dacasto;ferruccio.dacasto@laposte.net
Maria;Cantatore;maria.cantatore@bigpond.net.au
Lorenza;Pavia;lorenza.pavia@live.it
Luana;Gasparin;luana.gasparin@yahoo.com
Ivano;Vinotti;ivano.vinotti@tiscali.co.uk
Yasmine;Mule;yasmine.mule@terra.com.br
Eugenia;Ravizza;eugenia.ravizza@verizon.net
Mihaela;Critelli;mihaela.critelli@planet.nl
Fatiha;Massasso;fatiha.massasso@mail.com
Lorella;Ruscalla;lorella.ruscalla@chello.nl
Luigino;Palermo;luigino.palermo@wanadoo.fr
Mirco;Carrer;mirco.carrer@yahoo.fr
Paolina;Gjoni;paolina.gjoni@uol.com.br
Emily;Dieng;emily.dieng@yahoo.com.mx
Carmen;Wang;carmen.wang@hetnet.nl
Amalia;Valfre;amalia.valfre@yahoo.de
Immacolata;Ingrao;immacolata.ingrao@gmx.net
Alda;Vespa;alda.vespa@att.net
Oriana;Guarino;oriana.guarino@rambler.ru
Gina;Follo;gina.follo@yahoo.com.ar
Fausto;Vairo;fausto.vairo@club-internet.fr
Niccolo;Shahini;niccolo.shahini@gmail.com
Gregorio;Perna;gregorio.perna@sympatico.ca
Sarah;Sadiku;sarah.sadiku@shaw.ca
Agata;Di;agata.di@yahoo.com.au
Maria;Mecja;maria.mecja@yahoo.es
Livia;Porta;livia.porta@yahoo.fr
Donata;Bussolino;donata.bussolino@outlook.com
Ambra;Merlino;ambra.merlino@chello.nl
Santo;Tatani;santo.tatani@chello.nl
Lisa;Lazzarato;lisa.lazzarato@planet.nl
Loretta;Ndiaye;loretta.ndiaye@gmx.de
Maria;Poppa;maria.poppa@googlemail.com
Esmeralda;Piccolo;esmeralda.piccolo@yahoo.co.id
Ilenia;Balbo;ilenia.balbo@mac.com
Constantin;Salerno;constantin.salerno@web.de
Romano;Sorrentino;romano.sorrentino@rediffmail.com
Gianluigi;Dubois;gianluigi.dubois@rambler.ru
Orazio;Huli;orazio.huli@sympatico.ca
Irina;Vacchina;irina.vacchina@yahoo.com.br
Enea;Chen;enea.chen@earthlink.net
Edmond;Albanese;edmond.albanese@yahoo.co.jp
Giampiero;Priamo;giampiero.priamo@charter.net
Pier;Romagnolo;pier.romagnolo@t-online.de
Damiano;Santoro;damiano.santoro@bol.com.br
Isabel;Di;isabel.di@wanadoo.fr
Elia;Trimarco;elia.trimarco@voila.fr
Victoria;Bugnano;victoria.bugnano@yahoo.com.mx
Gioacchino;Villata;gioacchino.villata@ymail.com
Aya;Nobile;aya.nobile@centurytel.net
Graziano;Gavello;graziano.gavello@hotmail.fr
Svetlana;Giaccone;svetlana.giaccone@uol.com.br
Chloe;Bertone;chloe.bertone@neuf.fr
Azzurra;Saia;azzurra.saia@hotmail.it
Nina;Campagna;nina.campagna@yahoo.in
Italo;Ndoka;italo.ndoka@gmail.com
Fernanda;Diliberto;fernanda.diliberto@live.com.au
Pierino;Verrua;pierino.verrua@alice.it
Maria;Guasco;maria.guasco@terra.com.br
Alma;Trevisan;alma.trevisan@yahoo.com
Linda;Casalone;linda.casalone@yandex.ru
Ignazio;Tosetto;ignazio.tosetto@shaw.ca
Rosangela;Lo;rosangela.lo@yahoo.in
Annunziata;Gianotto;annunziata.gianotto@mac.com
Fulvia;Speretta;fulvia.speretta@voila.fr
Jennifer;Capusso;jennifer.capusso@yahoo.com.mx
Angela;Reka;angela.reka@virgilio.it
Osvaldo;Giannicola;osvaldo.giannicola@web.de
Mustapha;Veiluva;mustapha.veiluva@yahoo.es
Delia;Drago;delia.drago@laposte.net
Mariana;Berta;mariana.berta@live.it
Adam;Hasa;adam.hasa@aol.com
Martino;Accomasso;martino.accomasso@yahoo.co.in
Yassine;Ciola;yassine.ciola@chello.nl
Paolino;Fea;paolino.fea@ig.com.br
Rachid;Durante;rachid.durante@aim.com
Abderrahim;Carelli;abderrahim.carelli@yahoo.com.sg
Pierangelo;Castino;pierangelo.castino@club-internet.fr
Ernesto;Cantino;ernesto.cantino@windstream.net
Romeo;Bardhi;romeo.bardhi@earthlink.net
Clelia;Garbin;clelia.garbin@yahoo.com.ar
Fernando;Balsamo;fernando.balsamo@blueyonder.co.uk
Maria;Frontino;maria.frontino@aim.com
Vincenzina;Romeo;vincenzina.romeo@hotmail.fr
Marialuisa;Migliasso;marialuisa.migliasso@live.com.au
Igor;Olivieri;igor.olivieri@rediffmail.com
Antonello;Lin;antonello.lin@voila.fr
Fatna;Allkja;fatna.allkja@laposte.net
Ivo;Fiore;ivo.fiore@earthlink.net
Micaela;Butera;micaela.butera@tin.it
Fabiola;Beccaris;fabiola.beccaris@orange.fr
Zahra;Lorenzato;zahra.lorenzato@yahoo.fr
Maria;Zanaga;maria.zanaga@uol.com.br
Hassan;Rolando;hassan.rolando@yahoo.co.uk
Hamza;Alafleur;hamza.alafleur@hotmail.it
Secondina;Larocca;secondina.larocca@laposte.net
Eliana;Amato;eliana.amato@sky.com
Emanuel;Lafore;emanuel.lafore@yahoo.com.ar
Nunzia;Aluffi;nunzia.aluffi@verizon.net
Anila;Varlotta;anila.varlotta@zonnet.nl
Saverio;Fiora;saverio.fiora@hotmail.co.uk
Romana;Lazri;romana.lazri@live.co.uk
Amina;Termini;amina.termini@arcor.de
Samira;Lo;samira.lo@aol.com
Attilio;Anselmo;attilio.anselmo@aol.com
Hajar;Fusco;hajar.fusco@frontiernet.net
Achille;Aschiero;achille.aschiero@hotmail.de
Aurelia;Provenzano;aurelia.provenzano@voila.fr
Dante;Cadeddu;dante.cadeddu@live.it
Mariateresa;Chiesa;mariateresa.chiesa@live.ca
Celestina;Licata;celestina.licata@yahoo.it
Martin;Martino;martin.martino@rambler.ru
Gian;Potenza;gian.potenza@virgilio.it
Michelangelo;Maranzana;michelangelo.maranzana@ntlworld.com
Maria;Randazzo;maria.randazzo@live.ca
Gemma;Plaku;gemma.plaku@centurytel.net
Alexandru;Robino;alexandru.robino@yahoo.in
Violeta;Cravero;violeta.cravero@comcast.net
Vita;Negri;vita.negri@mail.ru
Nora;Dervishi;nora.dervishi@blueyonder.co.uk
Gian;Girola;gian.girola@virgilio.it
Celeste;Riccio;celeste.riccio@windstream.net
Altin;Alfieri;altin.alfieri@hotmail.it
Mariuccia;Curto;mariuccia.curto@yahoo.in
Renza;Scalia;renza.scalia@yahoo.com.sg
Giovanna;Diop;giovanna.diop@ymail.com
Eduard;Camara;eduard.camara@bigpond.net.au
Oscar;Di;oscar.di@yahoo.co.id
Clarissa;Cassenti;clarissa.cassenti@outlook.com
Tamara;Dema;tamara.dema@live.fr
Pier;Buzukja;pier.buzukja@mac.com
Gezim;Stella;gezim.stella@live.co.uk
Dino;Pani;dino.pani@mail.ru
Marino;Mascia;marino.mascia@mail.ru
Benedetto;Passarino;benedetto.passarino@sympatico.ca
Lara;Sega;lara.sega@yahoo.ca
Gheorghe;Tartaglino;gheorghe.tartaglino@aim.com
Tiziano;Picone;tiziano.picone@yandex.ru
Ana;Ali;ana.ali@hotmail.de
Aurelio;Manfredi;aurelio.manfredi@yahoo.co.id
Mariarosa;Vaccaneo;mariarosa.vaccaneo@juno.com
Mia;Piscopo;mia.piscopo@gmail.com
Egle;Mirigliani;egle.mirigliani@chello.nl
Cosima;Campo;cosima.campo@uol.com.br
Rino;Milani;rino.milani@cox.net
Valbona;Dabbene;valbona.dabbene@gmx.de
Augusto;Colombo;augusto.colombo@aliceadsl.fr
Manuele;Damiano;manuele.damiano@virgilio.it
Sabina;Cavaglia;sabina.cavaglia@terra.com.br
Amanda;Neri;amanda.neri@hotmail.fr
Ottavio;Pianta;ottavio.pianta@yahoo.ca
Concettina;Kodra;concettina.kodra@qq.com
Besnik;Campini;besnik.campini@ig.com.br
Zakaria;Dellagaren;zakaria.dellagaren@planet.nl
Angiolina;Petruzzella;angiolina.petruzzella@libero.it
William;Dato;william.dato@facebook.com
Serafina;Ingrasci;serafina.ingrasci@frontiernet.net
Artur;Pjetri;artur.pjetri@free.fr
Maria;Bajrami;maria.bajrami@att.net
Sophia;Passarella;sophia.passarella@ntlworld.com
Alexandra;Ventura;alexandra.ventura@yahoo.com.sg
Rodica;Aloi;rodica.aloi@live.fr
